City,State,US_AQI,PCA1,PCA2,TSNE1,TSNE2,UMAP1,UMAP2
Ahmedabad,Gujarat,160.0,22.793223842114116,-9.772408296359584,79.54787,-24.267519,19.416381453249862,-8.319617920958908
Mumbai,Maharashtra,118.0,1.1687835208087336,0.44326360154046657,28.46446,21.294643,1.0140049986294044,0.39784753074175006
Bengaluru,Karnataka,84.0,-0.9472396130968547,-2.992905425980255,-13.187484,-58.3719,-0.768480844487594,-2.4706488187363838
Shillong,Meghalaya,37.0,-5.979910998290704,-2.451903118714346,-77.11158,25.63507,-5.137448313057468,-2.177933623410155
Lucknow,Uttar Pradesh,68.0,-5.031792313300424,-0.9559111329862836,-29.676786,-18.689796,-4.329584717825245,-0.7888853816203976
Visakhapatnam,Andhra Pradesh,145.0,15.469941080112035,-6.823022677031913,64.309494,-67.63765,13.170137851609859,-5.8280099100951706
Imphal,Manipur,39.0,-7.7630769031747775,-3.3485114433662972,-57.52159,11.144627,-6.612203973966117,-2.8879495757094906
Ranchi,Jharkhand,74.0,-3.5152865298091895,-1.7659292799073008,-13.901423,-17.619137,-2.993348262557507,-1.5357262627277264
Hyderabad,Telangana,101.0,-3.738325436764054,6.1082601539343,15.995503,56.510773,-3.095736184986386,5.258163049230893
Guwahati,Assam,84.0,-3.7841425907896524,-0.9054944226568806,-23.608492,51.19559,-3.180331765175035,-0.7681077772688987
Guwahati,Assam,65.0,-6.3061245599555535,-2.3629944036522006,-66.17804,-17.302486,-5.303245938853749,-2.003608307961966
Visakhapatnam,Andhra Pradesh,130.0,13.09010298029274,-7.486360295604339,84.24968,-44.442585,11.134646339930539,-6.449805202443685
Bhubaneswar,Odisha,92.0,-1.7633136382238142,-2.949853373548166,-12.303156,-38.719376,-1.4857827328423385,-2.5719341380873093
Gangtok,Sikkim,38.0,-7.667981615605852,-1.8924036104481132,-81.711235,2.7404401,-6.537925837951742,-1.6000947929693137
Thiruvananthapuram,Kerala,63.0,-7.2327485932807285,-0.16315993136987447,-28.725513,-83.48425,-6.192770932831052,-0.1147502020745534
Lucknow,Uttar Pradesh,83.0,-4.344658248484205,2.3567618023847543,-13.108916,3.1591055,-3.6403729836801415,1.95905698113408
Imphal,Manipur,76.0,-2.177418044583302,1.2079293259053818,-20.344767,62.069214,-1.8449357569877822,0.9644168282514742
Patna,Bihar,193.0,11.25666760026453,5.515662408195559,71.680405,19.14556,9.50982127232484,4.703814793488577
Hyderabad,Telangana,91.0,-2.158800295678595,5.328144636507607,24.252655,-14.986562,-1.7993084230915173,4.453461155905582
Itanagar,Arunachal Pradesh,37.0,-7.861548632418793,0.20217317268291296,-35.426056,1.920061,-6.579883447330405,0.14700336712352222
Dehradun,Uttarakhand,95.0,-0.12412408167156813,-2.268818849932863,-4.034988,-20.823473,-0.09513537903390261,-1.9552018893969536
Ranchi,Jharkhand,54.0,-4.737094728523898,-1.1419784226547574,-47.002964,-16.20582,-4.040750243497884,-0.8947643300963128
Gurugram,Haryana,156.0,9.268407800937965,5.0800031007411075,69.84328,56.784748,7.953420195506331,4.2354805818431185
Chennai,Tamil Nadu,99.0,-0.8456639857451747,2.238629718557041,25.255917,-73.94917,-0.7469976050557382,2.0503672926361083
Bengaluru,Karnataka,95.0,-0.8903023046995706,4.016878091569679,23.894814,-15.132436,-0.7784078885978257,3.435480442207849
Chandigarh,Punjab,109.0,4.296280734668403,-4.5383435545891055,52.40358,35.17043,3.708657950823254,-3.814929473131849
Shimla,Himachal Pradesh,64.0,-2.524287286531556,5.5419891923116875,-39.313477,80.57015,-2.2865219821093152,4.727389014117858
Lucknow,Uttar Pradesh,166.0,11.129285072275168,-1.3719832464543738,59.12637,-41.22506,9.547357720132892,-1.1647158771549089
Kolkata,West Bengal,64.0,-5.976027348840358,-2.5597745066681292,-37.797626,-48.067074,-5.131682278427106,-2.226914015291538
Ranchi,Jharkhand,78.0,-3.4245477279975645,4.800118374094653,8.633156,56.56474,-2.9208190160675973,4.113861672780691
Chandigarh,Punjab,103.0,1.1193578169455924,1.0112749762748794,6.6735973,-21.291843,1.0959359627194882,0.8450942986130499
Lucknow,Uttar Pradesh,139.0,4.46641999576339,2.0207118035420484,15.24661,-11.212458,3.824555392547484,1.6403759415508044
Imphal,Manipur,62.0,-3.3760940798754078,-5.7443906621906295,-21.99969,-14.553069,-2.953927718181372,-4.907577566371385
Kohima,Nagaland,43.0,-6.901248862080418,-4.8285527609657,-84.673294,-12.411977,-5.843789629030572,-4.108586137844306
Guwahati,Assam,65.0,-6.6687634656660375,-1.9575135824369103,-65.24605,-17.482416,-5.665785930965807,-1.6776111092214983
Dehradun,Uttarakhand,140.0,-0.583044914897201,4.979092997522179,-12.6824665,6.7443676,-0.49697524605870075,4.217537209116203
Bhubaneswar,Odisha,163.0,7.4264170660554045,1.2887936440636625,37.07498,-47.402252,6.244972422779614,1.0208993466702572
Lucknow,Uttar Pradesh,79.0,-4.012222080339398,0.909216692320118,-10.788822,-13.545193,-3.3424186966175444,0.7316730903420386
Shillong,Meghalaya,45.0,-7.043654819053497,-2.0144453503675424,-72.49751,4.7354093,-5.999133877865699,-1.6527810615878213
Chandigarh,Punjab,111.0,0.47281829651203294,4.041713462429997,30.24121,-0.77564335,0.38841441808647914,3.4793306195251357
Kohima,Nagaland,58.0,-5.9662539116442534,-0.322194753110089,-49.928226,35.870907,-5.115717492304062,-0.19609619552820223
Bengaluru,Karnataka,24.0,-7.898675232500528,-5.915419931549388,-22.26235,-66.069824,-6.702523107213811,-5.029449102758052
Itanagar,Arunachal Pradesh,54.0,-6.680112049064057,1.723774190495958,-74.93627,-41.081573,-5.686335999893316,1.5034602023480803
Itanagar,Arunachal Pradesh,59.0,-7.441154199148123,0.521747162573471,-41.040646,6.749121,-6.31316958837165,0.28361742443089044
Delhi,Delhi,234.0,32.8587958807124,0.21207910804562474,88.034485,-9.865166,27.90757458109775,0.19636616343249738
Ranchi,Jharkhand,129.0,4.737078921292877,1.1024042482321599,39.58905,-17.18253,3.978106718602791,0.9118514117344931
Aizawl,Mizoram,32.0,-8.747682008051749,-2.745148227697785,-67.05346,-4.201153,-7.454930157273552,-2.2536271537609367
Itanagar,Arunachal Pradesh,42.0,-7.313958510553872,-0.4768197921611815,-76.22264,23.984232,-6.186974183738934,-0.3888446200885604
Delhi,Delhi,160.0,10.395608963039397,-3.7245187821860553,43.98766,-24.952574,8.777978296909577,-3.200075480402212
Itanagar,Arunachal Pradesh,67.0,-6.710539459403049,1.9772699207954902,-43.889545,-6.943355,-5.661445478342736,1.713684730414368
Thiruvananthapuram,Kerala,69.0,-5.731042076371594,1.573220615227537,2.1703646,20.858238,-4.942411832399912,1.4072078626603621
Bhubaneswar,Odisha,93.0,-0.3515381013907862,-0.32817877545450724,29.692106,26.088547,-0.341839514160329,-0.2610365550596959
Dehradun,Uttarakhand,110.0,2.6475824417849703,-4.333721774682857,48.53791,33.379826,2.387120361216817,-3.7045824052355747
Jaipur,Rajasthan,66.0,-1.6929061834639991,3.837999268183608,0.6745974,52.740913,-1.4305935786694142,3.2343598610238455
Patna,Bihar,60.0,-6.335330374916786,-4.093367244963772,-65.47426,-40.08099,-5.376268123857025,-3.408105845288851
Shimla,Himachal Pradesh,42.0,-7.631267308089434,1.2676584746169055,-50.354298,68.47538,-6.49630437683456,1.0627943482303153
Chandigarh,Punjab,156.0,11.375713324565758,-0.11238545987392963,75.08335,4.941065,9.724533833127621,-0.158689178848672
Chennai,Tamil Nadu,93.0,-0.521292043687919,-2.5553200458766985,-70.47028,-48.197277,-0.4389423358055157,-2.208406736082329
Ranchi,Jharkhand,91.0,-1.8255763900936082,4.752300235173472,-18.348314,9.280363,-1.5636388417386837,3.995087883342291
Imphal,Manipur,71.0,-2.579477936379772,-0.9965204206924682,-37.719406,29.522938,-2.263996864758409,-0.9574673607623009
Aizawl,Mizoram,70.0,-4.669463489873673,1.052903798137541,-20.441126,75.708855,-3.9916801286235852,0.9063656316700419
Ahmedabad,Gujarat,77.0,-5.048695425198796,-2.4041921677149642,-36.03261,-50.67826,-4.250729132966678,-2.1103368200316837
Itanagar,Arunachal Pradesh,22.0,-8.097214633264569,-1.6567670851110488,-41.8578,24.626152,-6.875017263443676,-1.380289279833217
Gurugram,Haryana,160.0,24.64989016942107,-9.477968328455349,77.62411,-29.524576,20.970416559198075,-8.043385540449817
Bhopal,Madhya Pradesh,129.0,0.9276905103430846,3.8748046923693664,27.296036,-11.835664,0.6804204770125778,3.2876042808308963
Hyderabad,Telangana,142.0,1.1134538179022826,4.092289679489505,67.19298,40.70873,0.9423218168600063,3.505715338636506
Itanagar,Arunachal Pradesh,39.0,-8.221734676547175,-3.9448673521804194,-72.2886,-26.21771,-6.919099789955581,-3.366093825853044
Gurugram,Haryana,205.0,18.646746633329432,1.2828244439730783,83.80185,-4.6454387,15.832486931476394,1.096927298575145
Kohima,Nagaland,29.0,-6.306451458035529,-4.500092915116113,-65.945885,-9.8943205,-5.35939465737521,-3.8034557351209375
Itanagar,Arunachal Pradesh,99.0,-3.839083155642844,-0.045232583430485154,-22.98574,53.141827,-3.236766634117711,-0.04725347560100674
Agartala,Tripura,171.0,12.340006721738055,-1.0844810629684234,61.216125,12.026912,10.513967712622488,-0.9327475519370574
Bhubaneswar,Odisha,109.0,-1.522846599399418,-2.36840112361935,-27.451555,-47.24842,-1.3669420653744786,-2.0709519223536987
Bengaluru,Karnataka,33.0,-7.0194763560985205,-2.8346665259038124,-32.723312,-66.74759,-6.08330384912494,-2.326331133412639
Agartala,Tripura,151.0,5.352696689475647,-1.2565036532146405,35.376377,-43.773315,4.61405492416913,-1.0162929340635922
Chandigarh,Punjab,153.0,6.281642519571104,-0.7071965388761091,36.538628,-25.845871,5.328576794070957,-0.5522832041229883
Chandigarh,Punjab,156.0,1.691953324404835,3.339913026593853,44.830048,57.35911,1.4830496531953354,2.7662174003986326
Hyderabad,Telangana,151.0,4.541404771659817,6.810078038340348,32.850067,-9.80657,3.8208823927072633,5.815440562584734
Thiruvananthapuram,Kerala,173.0,-2.493280745003596,8.062959112193358,4.115765,-83.856735,-2.143743195276232,6.818153274588905
Agartala,Tripura,93.0,-4.201482542116039,-0.3118213931725363,-16.11763,-3.4881845,-3.5300793201935576,-0.30646372996979193
Dehradun,Uttarakhand,135.0,-1.2602436847867442,3.352154253993118,27.573156,56.654495,-0.9471270156392855,2.9290447348498647
